0.22,-0.3,340,-0.4,-1.44
0.22,-0.34,348,-0.4,-1.52
0.06,-0.34,348,-0.28,-1.48
0.02,-0.26,340,-0.24,-1.44
-0.02,-0.3,348,-0.12,-1.44
-0.06,-0.34,356,-0.04,-1.52
-0.14,-0.34,348,0,-1.44
-0.14,-0.34,356,0,-1.48
-0.06,-0.26,372,-0.04,-1.44
-0.02,-0.26,364,-0.04,-1.44
0.1,-0.34,372,-0.12,-1.4
0.06,-0.3,372,-0.16,-1.48
0.18,-0.3,372,-0.32,-1.48
0.18,-0.26,380,-0.4,-1.44
0.22,-0.34,372,-0.44,-1.44
0.14,-0.3,388,-0.28,-1.48
0.06,-0.34,380,-0.24,-1.44
-0.02,-0.34,388,-0.04,-1.44
-0.02,-0.34,388,-0.04,-1.48
-0.14,-0.34,380,0,-1.48
0.02,-0.3,396,-0.04,-1.48
-0.02,-0.34,396,-0.04,-1.48
0.06,-0.34,388,-0.12,-1.48
0.14,-0.34,396,-0.2,-1.44
0.18,-0.3,388,-0.4,-1.44
0.22,-0.3,396,-0.4,-1.44
0.18,-0.34,396,-0.4,-1.44
0.18,-0.3,404,-0.36,-1.44
0.06,-0.34,396,-0.16,-1.44
0.02,-0.26,404,-0.24,-1.44
-0.02,-0.34,404,-0.04,-1.44
-0.02,-0.3,412,-0.04,-1.48
-0.06,-0.34,412,-0.08,-1.44
0.14,-0.34,428,-0.08,-1.48
0.02,-0.34,412,-0.12,-1.44
0.14,-0.34,404,-0.24,-1.44
0.14,-0.3,404,-0.32,-1.44
0.26,-0.34,412,-0.48,-1.44
0.18,-0.3,420,-0.4,-1.44
0.1,-0.34,420,-0.32,-1.44
0.02,-0.38,404,-0.24,-1.44
-0.06,-0.3,420,-0.08,-1.44
-0.1,-0.34,420,-0.04,-1.44
0.06,-0.3,412,-0.08,-1.44
0.02,-0.34,420,-0.12,-1.52
0.06,-0.3,428,-0.24,-1.44
0.14,-0.34,420,-0.28,-1.52
0.18,-0.26,420,-0.4,-1.44
0.3,-0.34,444,-0.4,-1.4
0.22,-0.34,436,-0.44,-1.44
0.14,-0.34,436,-0.36,-1.44
0.06,-0.34,428,-0.28,-1.44
0.06,-0.34,444,-0.12,-1.44
0.02,-0.3,444,-0.08,-1.44
-0.02,-0.34,436,-0.04,-1.44
0.06,-0.34,444,-0.08,-1.44
0.02,-0.34,436,-0.16,-1.44
0.14,-0.26,444,-0.24,-1.4
0.14,-0.34,444,-0.28,-1.44
0.26,-0.26,452,-0.44,-1.44
0.14,-0.34,444,-0.32,-1.48
0.06,-0.34,452,-0.24,-1.52
-0.02,-0.34,452,-0.12,-1.48
-0.06,-0.3,452,-0.04,-1.44
0.02,-0.34,452,-0.04,-1.44
-0.02,-0.3,452,-0.08,-1.44
0.02,-0.34,452,-0.12,-1.44
0.1,-0.26,452,-0.32,-1.48
0.18,-0.34,444,-0.28,-1.44
0.18,-0.3,452,-0.32,-1.44
0.18,-0.34,460,-0.28,-1.44
0.06,-0.34,452,-0.24,-1.44
0.02,-0.34,452,-0.16,-1.44
-0.02,-0.3,452,-0.04,-1.44
-0.02,-0.3,452,-0.04,-1.52
0.02,-0.34,460,-0.08,-1.44
0.02,-0.3,452,-0.08,-1.48
0.02,-0.38,452,-0.16,-1.44
0.06,-0.26,460,-0.2,-1.48
0.18,-0.3,460,-0.32,-1.48
0.22,-0.26,452,-0.52,-1.48
0.18,-0.3,460,-0.32,-1.44
0.06,-0.34,460,-0.24,-1.44
0.02,-0.26,468,-0.2,-1.4
-0.06,-0.34,468,-0.08,-1.48
0.02,-0.34,468,-0.04,-1.44
-0.02,-0.26,460,-0.08,-1.48
0.1,-0.3,460,-0.2,-1.44
0.14,-0.34,476,-0.28,-1.44
0.22,-0.26,468,-0.36,-1.44
0.18,-0.3,468,-0.36,-1.44
0.22,-0.3,468,-0.36,-1.48
0.1,-0.3,484,-0.24,-1.44
0.02,-0.26,476,-0.2,-1.48
-0.02,-0.34,476,-0.08,-1.44
0.02,-0.34,476,-0.12,-1.44
0.02,-0.34,468,-0.12,-1.44
0.06,-0.26,476,-0.16,-1.48
0.06,-0.34,476,-0.24,-1.44
0.22,-0.3,484,-0.32,-1.48
0.26,-0.38,476,-0.44,-1.44
0.18,-0.3,492,-0.36,-1.44
0.06,-0.34,476,-0.24,-1.44
-0.02,-0.3,492,-0.16,-1.44
-0.06,-0.34,476,-0.08,-1.48
0.02,-0.3,476,-0.16,-1.44
0.02,-0.26,476,-0.16,-1.4
0.14,-0.34,476,-0.24,-1.48
0.14,-0.34,484,-0.36,-1.48
0.14,-0.26,484,-0.36,-1.44
0.22,-0.34,476,-0.44,-1.44
0.22,-0.34,492,-0.36,-1.44
0.1,-0.3,484,-0.28,-1.44
0.02,-0.3,484,-0.16,-1.48
0.02,-0.3,484,-0.16,-1.44
0.02,-0.3,492,-0.08,-1.48
0.06,-0.34,484,-0.12,-1.44
0.06,-0.34,484,-0.16,-1.44
0.14,-0.34,484,-0.28,-1.44
0.22,-0.3,492,-0.32,-1.48
0.14,-0.3,500,-0.4,-1.4
0.14,-0.3,492,-0.32,-1.48
0.02,-0.3,492,-0.16,-1.48
-0.02,-0.34,492,-0.08,-1.44
-0.02,-0.34,484,-0.12,-1.4
-0.02,-0.26,492,-0.12,-1.4
0.02,-0.3,500,-0.12,-1.48
0.1,-0.34,484,-0.24,-1.48
0.1,-0.34,500,-0.28,-1.48
0.14,-0.34,492,-0.36,-1.4
0.14,-0.3,508,-0.32,-1.48
0.1,-0.34,500,-0.24,-1.44
0.02,-0.3,500,-0.08,-1.48
0.02,-0.3,500,-0.04,-1.48
-0.06,-0.34,500,-0.04,-1.48
0.02,-0.3,508,-0.08,-1.44
0.02,-0.34,492,-0.16,-1.44
0.1,-0.3,508,-0.24,-1.44
0.18,-0.3,500,-0.32,-1.44
0.18,-0.3,508,-0.44,-1.48
0.18,-0.34,508,-0.36,-1.44
0.02,-0.3,516,-0.16,-1.44
-0.02,-0.34,508,-0.04,-1.48
-0.06,-0.26,508,-0.08,-1.44
0.02,-0.3,508,-0.16,-1.44
0.06,-0.3,508,-0.12,-1.44
0.14,-0.3,508,-0.32,-1.44
0.18,-0.22,508,-0.28,-1.48
0.18,-0.3,508,-0.48,-1.44
0.26,-0.3,508,-0.4,-1.44
0.06,-0.34,508,-0.24,-1.44
0.02,-0.34,508,-0.2,-1.48
-0.02,-0.34,500,-0.12,-1.44
0.02,-0.34,500,-0.16,-1.44
0.06,-0.34,516,-0.08,-1.44
0.06,-0.3,508,-0.24,-1.44
0.1,-0.34,508,-0.24,-1.44
0.22,-0.34,508,-0.44,-1.4
0.18,-0.34,508,-0.36,-1.48
0.1,-0.34,508,-0.32,-1.48
0.02,-0.34,508,-0.16,-1.48
0.02,-0.34,516,-0.04,-1.44
0.02,-0.34,508,-0.16,-1.44
0.06,-0.34,516,-0.2,-1.44
0.06,-0.3,524,-0.2,-1.44
0.22,-0.34,516,-0.4,-1.44
0.18,-0.34,500,-0.36,-1.44
0.22,-0.3,516,-0.48,-1.48
0.18,-0.3,516,-0.36,-1.48
0.06,-0.34,516,-0.28,-1.44
0.06,-0.3,524,-0.16,-1.4
0.02,-0.3,524,-0.24,-1.44
0.06,-0.34,516,-0.16,-1.44
0.02,-0.34,524,-0.16,-1.48
0.1,-0.3,516,-0.24,-1.48
0.1,-0.34,532,-0.32,-1.44
0.26,-0.34,524,-0.48,-1.48
0.14,-0.3,524,-0.28,-1.44
0.06,-0.3,524,-0.2,-1.44
-0.06,-0.3,524,-0.08,-1.44
-0.02,-0.34,524,-0.16,-1.4
0.02,-0.34,524,-0.08,-1.44
0.06,-0.34,516,-0.2,-1.44
0.14,-0.34,524,-0.24,-1.44
0.18,-0.34,532,-0.28,-1.48
0.18,-0.34,524,-0.4,-1.48
0.14,-0.3,516,-0.32,-1.48
0.06,-0.3,532,-0.24,-1.44
-0.14,-0.3,516,-0.24,-1.44
0.02,-0.3,524,-0.12,-1.48
0.02,-0.3,524,-0.12,-1.44
0.02,-0.34,516,-0.16,-1.44
0.14,-0.34,524,-0.2,-1.4
0.14,-0.3,532,-0.24,-1.44
0.26,-0.3,532,-0.48,-1.44
0.14,-0.34,532,-0.36,-1.48
0.14,-0.34,524,-0.28,-1.44
-0.02,-0.34,532,-0.12,-1.4
0.06,-0.26,548,-0.08,-1.44
0.02,-0.3,524,-0.08,-1.44
0.06,-0.34,532,-0.24,-1.48
0.1,-0.34,532,-0.24,-1.44
0.14,-0.3,532,-0.36,-1.48
0.22,-0.3,540,-0.36,-1.44
0.1,-0.3,532,-0.44,-1.48
0.1,-0.34,532,-0.28,-1.44
0.02,-0.3,532,-0.2,-1.48
0.02,-0.34,540,-0.16,-1.44
0.02,-0.34,548,-0.16,-1.44
0.06,-0.34,532,-0.16,-1.44
0.1,-0.3,540,-0.2,-1.48
0.14,-0.34,540,-0.32,-1.4
0.22,-0.3,540,-0.44,-1.44
0.14,-0.34,532,-0.32,-1.48
0.06,-0.34,540,-0.24,-1.48
0.02,-0.26,524,-0.12,-1.48
0.06,-0.3,532,-0.16,-1.44
0.02,-0.3,532,-0.16,-1.48
0.06,-0.34,540,-0.24,-1.44
0.14,-0.34,540,-0.28,-1.48
0.22,-0.34,532,-0.4,-1.44
0.22,-0.3,548,-0.4,-1.4
0.14,-0.3,532,-0.48,-1.44
0.1,-0.3,548,-0.32,-1.44
0.06,-0.3,540,-0.24,-1.52
0.06,-0.34,540,-0.16,-1.44
0.06,-0.34,548,-0.2,-1.44
0.06,-0.34,548,-0.2,-1.44
0.06,-0.3,540,-0.32,-1.44
0.14,-0.3,548,-0.32,-1.44
0.18,-0.3,548,-0.44,-1.48
0.18,-0.3,548,-0.28,-1.48
0.02,-0.34,548,-0.16,-1.44
0.06,-0.34,548,-0.04,-1.48
-0.02,-0.34,556,-0.12,-1.4
0.02,-0.3,548,-0.2,-1.48
0.14,-0.3,556,-0.2,-1.44
0.1,-0.34,556,-0.28,-1.48
0.22,-0.34,556,-0.32,-1.48
0.14,-0.3,548,-0.36,-1.44
0.1,-0.3,556,-0.24,-1.44
-0.02,-0.34,548,-0.12,-1.44
0.02,-0.34,548,-0.16,-1.48
0.18,-0.34,572,0,-1.44
0.02,-0.34,548,-0.16,-1.44
0.1,-0.34,548,-0.2,-1.48
0.1,-0.3,548,-0.28,-1.44
0.22,-0.34,548,-0.44,-1.48
0.1,-0.34,556,-0.36,-1.4
0.06,-0.3,548,-0.28,-1.44
-0.06,-0.34,548,-0.08,-1.44
0.1,-0.34,548,-0.16,-1.44
