0.476,-0.004,-27.2,1.594,0.434
0.476,0.036,-27.2,1.554,0.474
0.436,-0.004,-35.2,1.634,0.474
0.436,0.036,-27.2,1.634,0.474
0.476,0.036,-27.2,1.594,0.514
0.396,-0.004,-27.2,1.554,0.474
0.396,-0.004,-35.2,1.554,0.514
0.476,0.036,-27.2,1.594,0.474
0.396,-0.004,-27.2,1.594,0.434
0.476,0.036,-27.2,1.594,0.474
0.436,-0.004,-27.2,1.554,0.474
0.436,-0.004,-27.2,1.634,0.514
0.436,0.036,-35.2,1.594,0.434
0.436,0.036,-19.2,1.594,0.474
0.396,-0.004,-35.2,1.554,0.514
0.436,-0.004,-27.2,1.594,0.474
0.436,-0.004,-35.2,1.594,0.474
0.396,0.036,-35.2,1.594,0.434
0.476,0.076,-27.2,1.594,0.474
0.516,-0.004,-27.2,1.594,0.474
0.476,0.036,-27.2,1.594,0.474
0.396,0.036,-27.2,1.554,0.474
0.396,0.036,-27.2,1.634,0.434
0.476,-0.004,-27.2,1.594,0.474
0.436,0.036,-35.2,1.594,0.474
0.436,0.036,-27.2,1.594,0.474
0.396,0.036,-27.2,1.634,0.474
0.476,-0.004,-27.2,1.554,0.514
0.436,0.076,-27.2,1.594,0.474
0.436,0.036,-27.2,1.554,0.474
0.436,-0.004,-27.2,1.594,0.474
0.436,-0.004,-27.2,1.554,0.474
0.476,0.036,-27.2,1.594,0.474
0.396,0.036,-27.2,1.594,0.474
0.436,-0.004,-35.2,1.594,0.514
0.436,-0.004,-27.2,1.634,0.514
0.396,-0.004,-27.2,1.554,0.514
0.436,-0.004,-35.2,1.634,0.474
0.436,-0.004,-35.2,1.634,0.474
0.476,-0.004,-27.2,1.554,0.474
0.476,0.036,-27.2,1.554,0.514
0.396,0.036,-27.2,1.634,0.474
0.436,0.036,-27.2,1.594,0.474
0.476,-0.004,-27.2,1.594,0.474
0.476,-0.004,-27.2,1.594,0.514
0.436,-0.004,-27.2,1.594,0.474
0.516,0.036,-35.2,1.594,0.434
0.476,-0.004,-27.2,1.634,0.474
0.476,-0.004,-27.2,1.634,0.514
0.436,0.036,-35.2,1.594,0.514
0.476,0.036,-35.2,1.594,0.474
0.436,-0.044,-27.2,1.634,0.514
0.436,0.036,-35.2,1.514,0.514
0.476,0.036,-35.2,1.594,0.514
0.396,0.036,-27.2,1.594,0.474
0.436,-0.044,-27.2,1.554,0.474
0.396,-0.044,-27.2,1.594,0.474
0.476,0.036,-19.2,1.634,0.474
0.476,-0.004,-27.2,1.554,0.434
0.436,0.036,-27.2,1.594,0.474
0.436,-0.004,-27.2,1.594,0.474
0.436,0.036,-27.2,1.634,0.474
0.476,-0.004,-27.2,1.594,0.474
0.476,0.036,-27.2,1.594,0.434
0.436,-0.004,-27.2,1.634,0.474
0.476,0.076,-27.2,1.594,0.514
0.436,0.036,-27.2,1.554,0.474
0.436,-0.004,-27.2,1.594,0.474
0.476,0.036,-27.2,1.634,0.474
0.436,-0.004,-35.2,1.634,0.474
0.436,0.036,-27.2,1.594,0.474
0.436,-0.004,-27.2,1.594,0.474
0.476,-0.004,-27.2,1.634,0.514
0.436,0.036,-27.2,1.594,0.474
0.476,-0.004,-27.2,1.554,0.474
0.516,-0.004,-27.2,1.594,0.474
0.436,-0.004,-27.2,1.634,0.514
0.476,0.036,-19.2,1.594,0.474
0.476,0.036,-27.2,1.634,0.434
0.436,-0.004,-27.2,1.594,0.474
0.476,0.036,-27.2,1.594,0.474
0.476,0.036,-27.2,1.594,0.474
0.476,0.036,-27.2,1.554,0.474
0.476,-0.004,-27.2,1.634,0.474
0.476,0.036,-35.2,1.594,0.474
0.476,0.036,-27.2,1.594,0.474
0.436,0.036,-35.2,1.554,0.474
0.396,0.036,-35.2,1.634,0.474
0.476,0.036,-27.2,1.594,0.474
0.436,0.036,-35.2,1.594,0.474
0.476,0.036,-35.2,1.554,0.474
0.436,0.036,-27.2,1.634,0.514
0.396,-0.004,-35.2,1.594,0.474
0.436,0.076,-27.2,1.554,0.474
0.436,-0.004,-35.2,1.594,0.474
0.436,0.036,-35.2,1.594,0.514
0.436,0.076,-35.2,1.554,0.474
0.436,0.036,-19.2,1.634,0.474
0.436,0.036,-35.2,1.554,0.474
0.476,0.036,-27.2,1.594,0.514
0.476,0.036,-27.2,1.554,0.434
0.476,0.036,-27.2,1.554,0.474
0.476,-0.004,-27.2,1.594,0.514
0.396,-0.004,-27.2,1.634,0.474
0.396,0.036,-27.2,1.594,0.474
0.476,-0.004,-27.2,1.594,0.474
0.436,0.036,-19.2,1.594,0.514
0.436,0.036,-27.2,1.594,0.514
0.436,-0.004,-27.2,1.594,0.474
0.476,0.036,-27.2,1.554,0.474
0.476,0.036,-27.2,1.554,0.514
0.476,0.036,-27.2,1.634,0.474
0.476,0.036,-27.2,1.594,0.474
0.476,-0.004,-27.2,1.594,0.474
0.436,-0.004,-35.2,1.554,0.474
0.436,-0.044,-19.2,1.594,0.434
0.476,0.036,-27.2,1.594,0.474
0.476,0.036,-27.2,1.594,0.474
0.476,-0.004,-27.2,1.634,0.514
0.476,0.036,-27.2,1.634,0.514
0.476,-0.004,-27.2,1.554,0.474
0.476,-0.004,-27.2,1.634,0.434
0.436,-0.004,-27.2,1.594,0.474
0.476,-0.004,-27.2,1.634,0.474
0.436,0.076,-27.2,1.554,0.474
0.436,0.036,-27.2,1.594,0.474
0.436,-0.004,-27.2,1.634,0.474
0.476,-0.004,-27.2,1.594,0.474
0.476,0.036,-27.2,1.594,0.474
0.476,-0.004,-35.2,1.634,0.474
0.476,-0.004,-27.2,1.594,0.554
0.476,0.036,-27.2,1.594,0.474
0.436,-0.004,-27.2,1.594,0.514
0.436,-0.004,-19.2,1.554,0.474
0.396,0.036,-27.2,1.634,0.474
0.436,0.036,-27.2,1.554,0.514
0.436,-0.004,-27.2,1.554,0.434
0.436,-0.004,-27.2,1.594,0.474
0.396,-0.004,-27.2,1.594,0.514
0.436,0.076,-27.2,1.594,0.474
0.436,0.036,-27.2,1.594,0.474
0.396,-0.004,-27.2,1.554,0.474
0.476,-0.004,-27.2,1.594,0.514
0.436,-0.004,-27.2,1.634,0.474
0.436,-0.004,-27.2,1.554,0.474
0.396,0.036,-35.2,1.594,0.474
0.476,-0.004,-27.2,1.594,0.474
0.476,0.036,-27.2,1.594,0.474
0.436,-0.004,-27.2,1.554,0.434
0.396,-0.004,-27.2,1.594,0.474
0.436,0.036,-27.2,1.554,0.514
0.476,0.036,-27.2,1.554,0.474
0.476,0.036,-27.2,1.594,0.474
